MSR/ALIGNNMENT,CUSTOMER,PRODUCT
KE-DCV-4,MPESA CASH ACCOUNT NAKURU,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,NAIROBI ENTERPRISES LIMITED,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-3,SIPICHEM PHARMACEUTICALS - PH,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-5,AVENUE HEALTHCARE - EMBAKASI,AMARYL M SR 2MG 30'S
KE-DCV-4,NAIROBI WEST HOSPITAL,AMARYL M SR 2MG 30'S
KE-DCV-4,PHARMORE PHARMACY LIMITED,AMARYL M SR 2MG 30'S
KE-DCV-4,TRANSMED-CASH,AMARYL M SR 2MG 30'S
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-5,AVENUE HEALTHCARE - NAIROBI BRANCH,AMARYL 4MG 30 TABS
KE-DCV-1,CENTURION PHARMACY LTD,AMARYL 4MG 30 TABS
KE-DCV-1,EAGLEPHARM CHEMIST LTD,AMARYL 4MG 30 TABS
KE-DCV-5,FLAME TREE PHARMACY,AMARYL 4MG 30 TABS
KE-DCV-4,GILO CHEMIST,AMARYL 4MG 30 TABS
KE-DCV-2,HARIPHARM PHARMACY LTD,AMARYL 4MG 30 TABS
KE-DCV-2,LEMARK PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-2,MAUA HILLTOP PHARMACY,AMARYL 4MG 30 TABS
KE-DCV-1,NAIROBI ENTERPRISES LIMITED,AMARYL 4MG 30 TABS
KE-DCV-3,OMNICAREE PHARMACEUTICALS,AMARYL 4MG 30 TABS
KE-DCV-1,RAJ PHARMACY,AMARYL 4MG 30 TABS
KE-DCV-4,TRANSLAB PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-2,TWO FAMILIES LTD - KAREN,AMARYL 4MG 30 TABS
KE-DCV-2,AAR HEALTHCARE KENYA LTD,AMARYL 1MG 30 TABS
KE-DCV-4,ADVENT MED & DENT CARE CENTER ,AMARYL 1MG 30 TABS
KE-DCV-5,AVENUE HEALTHCARE-SOUTH C,AMARYL 1MG 30 TABS
KE-DCV-5,DAN PHARMACIE LTD - KANGEMI,AMARYL 1MG 30 TABS
KE-DCV-4,FAMILY MEDICAL SUPPLIES LTD,AMARYL 1MG 30 TABS
KE-DCV-1,LIFEMED PHARMACY LTD,AMARYL 1MG 30 TABS
KE-DCV-5,MERCURY PHARMACEUTICALS,AMARYL 1MG 30 TABS
KE-DCV-4,MERIDIAN EQUATOR HOSPITAL - 1,AMARYL 1MG 30 TABS
KE-DCV-1,METROPOLITAN CHEMISTS LTD,AMARYL 1MG 30 TABS
KE-DCV-1,PORTAL PHARMACY,AMARYL 1MG 30 TABS
KE-DCV-1,ALLMED HEALTHCARE,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-1,DRUG MART LIMITED,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-1,EASTON PHARMACEUTICALS LTD TWN,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-3,HIJAZ PHARMACEUTICALS LTD     ,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-2,KAVAKAVA PHARMACY LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-1,NAIROBI ENTERPRISES LIMITED,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-3,OAKLEY PHARMACY LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-4,SEGUTON CENTRAL PHARMACY,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-5,AVENUE HEALTHCARE - NAIROBI BRANCH,AMARYL 1MG 30 TABS
KE-DCV-5,AVENUE HEALTHCARE-GREENSPAN MALL,AMARYL 1MG 30 TABS
KE-DCV-2,BESTO PHARMACY - CASH,AMARYL 1MG 30 TABS
KE-DCV-3,FURAHA (K) LTD,AMARYL 1MG 30 TABS
KE-DCV-3,HALTONS LIMITED,AMARYL 1MG 30 TABS
KE-DCV-3,Hikmas Pharmacy Ltd,AMARYL 1MG 30 TABS
KE-DCV-2,KERU HEALTHCARE LTD,AMARYL 1MG 30 TABS
KE-DCV-2,MAUA CENTRAL PHARMACY,AMARYL 1MG 30 TABS
KE-DCV-4,METROPOLITAN HOSPITAL LTD,AMARYL 1MG 30 TABS
KE-DCV-2,MUTINDWA CHEMISTS LTD,AMARYL 1MG 30 TABS
KE-DCV-3,NAIROBI EAST HOSPITAL LTD,AMARYL 1MG 30 TABS
KE-DCV-3,OMNICAREE PHARMACEUTICALS,AMARYL 1MG 30 TABS
KE-DCV-1,SAGITARIX LTD,AMARYL 1MG 30 TABS
KE-DCV-3,SAKO PHARMACEUTICALS,AMARYL 1MG 30 TABS
KE-DCV-1,TOUCHSTONE PHARMACEUTICALS LTD,AMARYL 1MG 30 TABS
KE-DCV-5,TRAFALGER PHARMACY LTD,AMARYL 1MG 30 TABS
KE-DCV-4,USHIRIKA MARTIAN LTD,AMARYL 1MG 30 TABS
KE-DCV-2,WEST END CORNER PHARMACY - MERU,AMARYL 1MG 30 TABS
KE-DCV-1,WESTMALL CHEMIST LTD,AMARYL 1MG 30 TABS
KE-DCV-4,ACCRA PHARMACY LTD,AMARYL 2MG 30 TABS
KE-DCV-3,AL-MANAAR PHARMACEUTICAL LTD,AMARYL 2MG 30 TABS
KE-DCV-2,APPLEGENE PHARMACY LTD,AMARYL 2MG 30 TABS
KE-DCV-4,BENUNA CHEMISTS,AMARYL 2MG 30 TABS
KE-DCV-3,CARE HOSPITAL LIMITED,AMARYL 2MG 30 TABS
KE-DCV-5,CENTER LINE DRUG HOUSE-CASH,AMARYL 2MG 30 TABS
KE-DCV-5,DANIL CHEMIST,AMARYL 2MG 30 TABS
KE-DCV-1,EAGLEPHARM CHEMIST LTD,AMARYL 2MG 30 TABS
KE-DCV-4,GILO CHEMIST,AMARYL 2MG 30 TABS
KE-DCV-1,HOST PHARMACY,AMARYL 2MG 30 TABS
KE-DCV-1,LELESHWA PHARMACY,AMARYL 2MG 30 TABS
KE-DCV-2,LEMARK PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-2,MEDIPOINT PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-1,PHARMROB CHEMIST,AMARYL 2MG 30 TABS
KE-DCV-3,RAFIKI CHEMISTS,AMARYL 2MG 30 TABS
KE-DCV-3,RANCHMART CHEMIST-CASH,AMARYL 2MG 30 TABS
KE-DCV-1,SELFLESS PHARMACY,AMARYL 2MG 30 TABS
KE-DCV-5,TRAFALGER PHARMACY LTD,AMARYL 2MG 30 TABS
KE-DCV-1,ORION PHARMACY LTD.,AMARYL 3MG 30'S
KE-DCV-5,PRIORITY CHEMIST,AMARYL 3MG 30'S
KE-DCV-3,DOCPHARMA LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-4,EVANS SUNRISE MEDICAL CENTRE,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,FARMATICA PHARMACEUTICALS,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-2,KAREN CHEMIST,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-4,KARURI STORES PHARMACEUTICALS,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,LIFEMED PHARMACY LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-5,QUINTONS PHARMACY LIMITED,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-4,RWAN PHARMACY LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-2,SAINARD PHARMACEUTICALS LTD   ,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-2,THELUJI PHARMACY LIMITED,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-2,TWO FAMILIES LTD - KAREN,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-2,AAR HEALTHCARE KENYA LTD,AMARYL M SR 2MG 30'S
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,AMARYL M SR 2MG 30'S
KE-DCV-3,BREEZEPHARM CHEMIST,AMARYL M SR 2MG 30'S
KE-DCV-2,LUC PHARMACY,AMARYL M SR 2MG 30'S
KE-DCV-4,ACCRA PHARMACY LTD,AMARYL 1MG 30 TABS
KE-DCV-3,AL-HIDDAYA PHARMACEUTICALS LTD.,AMARYL 1MG 30 TABS
KE-DCV-5,ARACHIS PHARMACEUTICALS LTD,AMARYL 1MG 30 TABS
KE-DCV-5,CALWIN PHARMA LIMITED,AMARYL 1MG 30 TABS
KE-DCV-4,DANNES PHARMACY,AMARYL 1MG 30 TABS
KE-DCV-1,EAGLEPHARM CHEMIST LTD,AMARYL 1MG 30 TABS
KE-DCV-4,Hewan Pharmacy - PH,AMARYL 1MG 30 TABS
KE-DCV-2,KAREN CHEMIST,AMARYL 1MG 30 TABS
KE-DCV-3,KISAO CHEMIST,AMARYL 1MG 30 TABS
KE-DCV-2,LANGATA HOSPITAL LTD,AMARYL 1MG 30 TABS
KE-DCV-3,MEDIMART HEALTHCARE LTD - THIKA ROAD,AMARYL 1MG 30 TABS
KE-DCV-2,MEDIPOINT PHARMACEUTICALS LTD,AMARYL 1MG 30 TABS
KE-DCV-1,MELCHIZEDEK HOSPITAL,AMARYL 1MG 30 TABS
KE-DCV-1,NAIROBI ENTERPRISES LIMITED,AMARYL 1MG 30 TABS
KE-DCV-4,NAKURU AFYA CHEMIST,AMARYL 1MG 30 TABS
KE-DCV-5,QUINTONS PHARMACY LIMITED,AMARYL 1MG 30 TABS
KE-DCV-5,SHIELD PHARMACEUTICALS LIMITED,AMARYL 1MG 30 TABS
KE-DCV-1,SINAI HOSP PHARMACEUTICALS,AMARYL 1MG 30 TABS
KE-DCV-1,SIYARA PHARMACY LTD,AMARYL 1MG 30 TABS
KE-DCV-2,ALFAJIRI PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-5,AVENUE HEALTHCARE - EMBAKASI,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,AVENUE HEALTHCARE - NAIROBI BRANCH,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-5,AVENUE HEALTHCARE GARDEN CITY,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,FLORIAN CHEMIST               ,LANTUS VIAL 10MG 1
KE-DCV-2,JABEZ PHARMACY,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,JANPHARM,AMARYL 1MG 30 TABS
KE-DCV-2,K.I.R.E.C LTD,AMARYL M SR 2MG 30'S
KE-DCV-2,KAREN CHEMISTS LTD            ,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-3,LEBILLE PHARMACEUTICALS,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-2,MAUA HILLTOP PHARMACY,AMARYL 1MG 30 TABS
KE-DCV-2,MAUA HILLTOP PHARMACY,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,MAX PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-4,NAKURU AFYA CHEMIST,AMARYL M SR 2MG 30'S
KE-DCV-4,NAKURU AFYA CHEMIST,LANTUS VIAL 10MG 1
KE-DCV-1,QUEENS VILLE PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-3,SAFEDOSE PHARMACY & DIAGNOSTICS LTD(CASH A/C),ALLSTAR MEDSU PEN1 XE
KE-DCV-3,SAFEDOSE PHARMACY & DIAGNOSTICS LTD(CASH A/C),LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-4,STRATHMORE MEDICAL CENTRE,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-5,TRANSWIDE PHARMACEUTICALS LTD,AMARYL M SR 2MG 30'S
KE-DCV-4,CARE CHEMIST LTD,AMARYL M SR 2MG 30'S
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-1,THE NAIROBI HOSPITAL,APIDRA SOLOSTAR 300IU INJ/5
KE-G.MED-1-3,A G PHARMACEUTICAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,A G PHARMACEUTICAL,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-3,A G PHARMACEUTICAL,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-3,A G PHARMACEUTICAL,TRITACE 5MG 28 TABS
KE-G.MED-1-3,A.I.C. KIJABE HOSPITAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,A.I.C. KIJABE HOSPITAL,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,A.I.C. KIJABE HOSPITAL,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,TRITAZIDE 5-12.5MG TAB BL2X14 S3 M36 XD
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE
KE-G.MED-1-1,ACHIRAL PHARMACEUTICALS,TRITACE 5MG 28 TABS
KE-G.MED-1-3,AFRICARE DISTRIBUTORS LTD.,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,AGA KHAN HOSPITAL NAIROBI,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,AGA KHAN HOSPITAL NAIROBI,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,AGA KHAN HOSPITAL NAIROBI,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,AGA KHAN HOSPITAL NAIROBI,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,AGA KHAN HOSPITAL NAIROBI,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-1,AGA KHAN HOSPITAL NAIROBI,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-1,AGA KHAN HOSPITAL NAIROBI,TRITACE 5MG 28 TABS
KE-G.MED-1-4,AGMART PHARMACEUTICALS,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,AGMART PHARMACEUTICALS,TRITACE 5MG 28 TABS
KE-G.MED-1-4,Agmart-Cash,TRITACE 5MG 28 TABS
KE-G.MED-1-4,AHLAM CHEMIST,TRITACE 5MG 28 TABS
KE-G.MED-1-4,ALFAJIRI PHARMACEUTICALS LTD,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,ALFAJIRI PHARMACEUTICALS LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,ALFAJIRI PHARMACEUTICALS LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,ALFAJIRI PHARMACEUTICALS LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-4,ALFAJIRI PHARMACEUTICALS LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,ALFAJIRI PHARMACEUTICALS LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-4,ALFAJIRI PHARMACEUTICALS LTD,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE
KE-G.MED-1-1,AL-HIDDAYA PHARMACEUTICALS LTD.,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-1,AL-HIDDAYA PHARMACEUTICALS LTD.,TRITACE 5MG 28 TABS
KE-G.MED-1-4,ALLMED HEALTHCARE,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,ALLMED HEALTHCARE,TRITACE 5MG 28 TABS
KE-G.MED-1-2,ANSELL PHARMACEUTICALS LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-2,APEC PHARMACY LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-3,ARACHIS PHARMACEUTICALS LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,ARACHIS PHARMACEUTICALS LTD,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,ARACHIS PHARMACEUTICALS LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-3,ARACHIS PHARMACEUTICALS LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-3,ARACHIS PHARMACEUTICALS LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-2,AVA PHARMACY LTD,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-2,AVA PHARMACY LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-2,AVA PHARMACY LTD,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-2,AVA PHARMACY LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-2,AVA PHARMACY LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-3,AVENUE HEALTHCARE - NAIROBI BRANCH,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HEALTHCARE - NAKURU,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HEALTHCARE - NAKURU,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-3,AVENUE HEALTHCARE GARDEN CITY,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HEALTHCARE GARDEN CITY,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HEALTHCARE GARDEN CITY,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HEALTHCARE LTD THIKA BR,TRITACE 5MG 28 TABS
KE-G.MED-1-3,AVENUE HOSPITAL LTD.,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HOSPITAL LTD.,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HOSPITAL LTD.,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HOSPITAL LTD.,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AVENUE HOSPITAL LTD.,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-3,AVENUE HOSPITAL LTD.,TRITACE 5MG 28 TABS
KE-G.MED-1-3,AXITA PHARMACY LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AXITA PHARMACY LTD,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,BALOZI HOSPITAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,BEKY HOLDINGS PHARMACY LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,BEKY HOLDINGS PHARMACY LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-4,BEKY HOLDINGS PHARMACY LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,BEKY HOLDINGS PHARMACY LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-4,BEL-EA PHARMACY LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,BEL-EA PHARMACY LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-4,BELLEVIEW SOUTH HOSPITAL       ,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,BELMONT PHARMACEUTICALS LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,BELMONT PHARMACEUTICALS LTD,TRITAZIDE 5-12.5MG TAB BL2X14 S3 M36 XD
KE-G.MED-1-4,BENORA PHARMACY LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,BESTO PHARMACY - CASH,TRITACE 5MG 28 TABS
KE-G.MED-1-4,BILOVA CHEMIST,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,BILOVA CHEMIST,TRITACE 5MG 28 TABS
KE-G.MED-1-4,BILOVA CHEMISTS LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,BILOVA CHEMISTS LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,BILOVA CHEMISTS LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-4,BILOVA CHEMISTS LTD,TRITAZIDE 5-12.5MG TAB BL2X14 S3 M36 XD
KE-G.MED-1-5,BLISS GVS HEALTHCARE LTD/ ASTERIXS,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE
KE-G.MED-1-1,BRAIN SPINE AND REHABILIATION HOSPITAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,CALWIN PHARMA LIMITED,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-3,CALWIN PHARMA LIMITED,TRITACE 5MG 28 TABS
KE-G.MED-1-4,CANAAN PHARMACEUITICAL LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-4,CANAAN PHARMACEUITICAL LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,CANAAN PHARMACEUITICAL LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-3,CARE CHEMIST LTD,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,CARE CHEMIST LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,CARE CHEMIST LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,CARE CHEMIST LTD,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,CARE CHEMIST LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-3,CARE CHEMIST LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-1,CARE HOSPITAL LIMITED,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,CARE HOSPITAL LIMITED,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,CARE HOSPITAL LIMITED,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,CARE HOSPITAL LIMITED,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-1,CASH SALE (C.O.D)- DR JELLAN,TRITACE 5MG 28 TABS
KE-G.MED-1-3,CASH SALES CUSTOMER - NAKURU,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,CENTRAL BANK OF KENYA,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,CENTRAL BANK OF KENYA,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-4,CENTRAL BANK OF KENYA,TRITACE 5MG 28 TABS
KE-G.MED-1-4,CHAMBAI CHEMIS LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-2,CHUKA AFYA CHEMISTS LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,CITY LINK PHARMA LTD,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,CITY LINK PHARMA LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,CITY LINK PHARMA LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,CITY LINK PHARMA LTD,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-1,CITY LINK PHARMA LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-1,CITY LINK PHARMA LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-1,CITY LINK PHARMA LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-1,Citymed Pharmacy,TRITACE 5MG 28 TABS
KE-G.MED-1-1,COLUMBIA AFRICA HEALTHCARE LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-5,COPTIC HOSPITAL,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-5,COPTIC HOSPITAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-5,COPTIC HOSPITAL,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-5,COPTIC HOSPITAL,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1-5,COPTIC HOSPITAL,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,DAMCO PHARMA LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-4,DAMCO PHARMA LTD,TRITACE 10MG 30 CAPS
KE-G.MED-1-4,DAMCO PHARMA LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-3,DAN PHARMACIE LTD - KANGEMI,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-3,DAN PHARMACIE LTD - KANGEMI,TRITACE 5MG 28 TABS
KE-G.MED-1-1,DAWAMART CHEMISTS  LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-5,DELL-LIGHT PHARMACEUTICALS.,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-5,DELL-LIGHT PHARMACEUTICALS.,TRITACE 5MG 28 TABS
KE-G.MED-1-4,DISCHEM PHARMACIE,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,DISCHEM PHARMACIE,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-4,DISCHEM PHARMACIE,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-4,DISCHEM PHARMACIE,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE
KE-G.MED-1-1,DOCPHARMA LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1-1,DOCPHARMA LTD,TRITACE 5MG 28 TABS
KE-G.MED-1-1,DOCPHARMA LTD,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE
KE-G.MED-1-3,DOVEY PHARMACEUTICALS LIMITED,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,DOVEY PHARMACEUTICALS LIMITED,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
