MSR,Customer Name,Products
KE-REG-2,BADAR PHARMACY LTD.,EPILIM CHRONO 333-145MG T
KE-REG-2,BADAR PHARMACY LTD.,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
CHC-NP,BADAR PHARMACY LTD.,ERCEFURYL 200MG CAP BL2X14
CHC-NP,BADAR PHARMACY LTD.,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX
KE-G.MED-4_Others,BADAR PHARMACY LTD.,FLAGYL 400MG 100 TABS
KE-G.MED-4_Others,BADAR PHARMACY LTD.,FLAGYL SUSPENSION 100ML
CHC-NP,BADAR PHARMACY LTD.,IBEX 200MG+ CAPEM BL2X12 M36 EX
KE-DCV_Others,BADAR PHARMACY LTD.,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-REG-2,BADAR PHARMACY LTD.,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-REG-2,BADAR PHARMACY LTD.,LANTUS VIAL 10MG 1
GEM-NP,BADAR PHARMACY LTD.,LASIX 20MG/2ML INJ AM5 S3 M60 XE
GEM-NP,BADAR PHARMACY LTD.,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,BADAR PHARMACY LTD.,Maalox 460mg/susp SC20 S3 M36 XE
CHC-NP,BADAR PHARMACY LTD.,MAALOX PLUS TABS EXPORT 10
CHC-NP,BADAR PHARMACY LTD.,MAALOX SUSPENSION 350ML (EXPORT)
KE-CHC-1,BADAR PHARMACY LTD.,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC-NP,BADAR PHARMACY LTD.,NOSPA 40MG TAB BL10X10 S3
KE-REG-2,BADAR PHARMACY LTD.,ORELOX 200MG 10CP
KE-REG-2,BADAR PHARMACY LTD.,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-REG-2,BADAR PHARMACY LTD.,ORELOX 800MG/+ GRAN BTX1
KE-G.MED-1_Others,BADAR PHARMACY LTD.,PLAVIX 75MG TABCO BL2X14 M36 XE
GEM-NP,BADAR PHARMACY LTD.,RESONIUM A 453.7G/+ POWD BTX1 M60 XE
CHC-NP,BADAR PHARMACY LTD.,RHINATHIOL 10G/200ML SOL BTX1 XM
KE-CHC-5,BADAR PHARMACY LTD.,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-5,BADAR PHARMACY LTD.,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-1,BADAR PHARMACY LTD.,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,BADAR PHARMACY LTD.,RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE
GEM-NP,BADAR PHARMACY LTD.,STILNOX 10MG TABCO BL1X14 S3 M48 XD
GEM-NP,BADAR PHARMACY LTD.,TAVANIC 500MG TABLETS 5's
KE-G.MED-1_Others,BADAR PHARMACY LTD.,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1_Others,BADAR PHARMACY LTD.,TRITACE 5MG 28 TABS
KE-G.MED-2-1,BADAR PHARMACY LTD.,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-G.MED-2-1,BADAR PHARMACY LTD.,XATRAL 5MG TAB BL4X14 S3 M36 XD
KE-DCV_Others,BAKPHARM LIMITED              ,LANTUS SOLOSTAR 100IU/ML 3ML 5
CHC_OTC_Others,BARAKAAT CHEMIST LIMITED,BUSCOPAN TABLETS BP 10mg * 50's
KE-CHC-8,BARAKAAT CHEMIST LIMITED,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-4,BARAKAAT CHEMIST LIMITED,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3_Others,BARAKAAT CHEMIST LIMITED,ORELOX 800MG/+ GRAN BTX1
KE-CHC-4,BARAKAAT CHEMIST LIMITED,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,BASPEN SYOKIMAU COTAGE HOSPITA,LASIX 20MG/2ML INJ AM5 S3 M60 XE
KE-DCV-2,BATIAN PEAK PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-2,BATIAN PEAK PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
CHC-NP,BATIAN PEAK PHARMACEUTICALS LTD,BRONCHICUM 6.64G/+ ELIX BTX1 XE
KE-CHC-7,BATIAN PEAK PHARMACEUTICALS LTD,BUSCOPAN AMPOULES 20mg/1ml * 5's 
KE-CHC-7,BATIAN PEAK PHARMACEUTICALS LTD,BUSCOPAN TABLETS BP 10mg * 50's
KE-CHC-7,BATIAN PEAK PHARMACEUTICALS LTD,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-3,BATIAN PEAK PHARMACEUTICALS LTD,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3-5,BATIAN PEAK PHARMACEUTICALS LTD,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-5,BATIAN PEAK PHARMACEUTICALS LTD,EPILIM 200MG TAB BL10X10
KE-G.MED-3-5,BATIAN PEAK PHARMACEUTICALS LTD,EPILIM CHRONO 333-145MG T
KE-G.MED-3-5,BATIAN PEAK PHARMACEUTICALS LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
KE-G.MED-4-2,BATIAN PEAK PHARMACEUTICALS LTD,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4-2,BATIAN PEAK PHARMACEUTICALS LTD,FLAGYL 400MG 100 TABS
KE-G.MED-4-2,BATIAN PEAK PHARMACEUTICALS LTD,FLAGYL SUSPENSION 100ML
KE-G.MED-4-2,BATIAN PEAK PHARMACEUTICALS LTD,FLEMING 500-125MG TABCO BL2X7 M24 EX
KE-G.MED-4-2,BATIAN PEAK PHARMACEUTICALS LTD,FLEMING 875-125MG TABCO BL2X7 M24 EX
KE-DCV-2,BATIAN PEAK PHARMACEUTICALS LTD,LANTUS VIAL 10MG 1
GEM-NP,BATIAN PEAK PHARMACEUTICALS LTD,LASIX 40MG TAB BL2X10 SWI M60 XE
KE-CHC-3,BATIAN PEAK PHARMACEUTICALS LTD,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
KE-G.MED-3-5,BATIAN PEAK PHARMACEUTICALS LTD,ORELOX 200MG 10CP
KE-G.MED-3-5,BATIAN PEAK PHARMACEUTICALS LTD,ORELOX 800MG/+ GRAN BTX1
KE-CHC-7,BATIAN PEAK PHARMACEUTICALS LTD,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-7,BATIAN PEAK PHARMACEUTICALS LTD,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-3,BATIAN PEAK PHARMACEUTICALS LTD,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,BATIAN PEAK PHARMACEUTICALS LTD,STILNOX 10MG TABCO BL1X14 S3 M48 XD
KE-G.MED-2-1,BATIAN PEAK PHARMACEUTICALS LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-G.MED-3-4,BECAMOL CHEMIST,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-4,BECAMOL CHEMIST,EPILIM 200MG TAB BL10X10
KE-G.MED-3-4,BECAMOL CHEMIST,EPILIM CHRONO 333-145MG T
KE-G.MED-3-4,BECAMOL CHEMIST,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
CHC_OTC_Others,BEIRUT PHARMA & MEDICAL LTD   ,BUSCOPAN TABLETS BP 10mg * 50's
KE-G.MED-4_Others,BEIRUT PHARMA & MEDICAL LTD   ,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4_Others,BEIRUT PHARMA & MEDICAL LTD   ,FLAGYL 400MG 100 TABS
KE-G.MED-4_Others,BEIRUT PHARMA & MEDICAL LTD   ,FLAGYL SUSPENSION 100ML
KE-G.MED-3_Others,BEIRUT PHARMA & MEDICAL LTD   ,ORELOX 200MG 10CP
KE-G.MED-3_Others,BEIRUT PHARMA & MEDICAL LTD   ,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
CHC_OTC_Others,BEIRUT PHARMA & MEDICAL LTD   ,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
CHC_RX_Others,BEIRUT PHARMA & MEDICAL LTD   ,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-G.MED-2-1,BEIRUT PHARMA & MEDICAL LTD   ,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,AMARYL 1MG 30 TABS
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,AMARYL 2MG 30 TABS
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,AMARYL 4MG 30 TABS
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,APROVASC 150/5
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,APROVASC 300/10
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,APROVEL 300MG TABCO BL2X14 RM M36 XE
CHC-NP,BEKY HOLDINGS PHARMACY LTD,BRONCHICUM 6.64G/+ ELIX BTX1 XE
KE-CHC-7,BEKY HOLDINGS PHARMACY LTD,BUSCOPAN PLUS TABLETS * 50's
KE-CHC-7,BEKY HOLDINGS PHARMACY LTD,BUSCOPAN TABLETS BP 10mg * 50's
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-CHC-7,BEKY HOLDINGS PHARMACY LTD,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-3,BEKY HOLDINGS PHARMACY LTD,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3_Others,BEKY HOLDINGS PHARMACY LTD,EPILIM 200MG TAB BL10X10
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,EPILIM CHRONO 333-145MG T
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
CHC-NP,BEKY HOLDINGS PHARMACY LTD,ERCEFURYL 200MG CAP BL2X14
CHC-NP,BEKY HOLDINGS PHARMACY LTD,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX
KE-G.MED-4-2,BEKY HOLDINGS PHARMACY LTD,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4-2,BEKY HOLDINGS PHARMACY LTD,FLAGYL 400MG 100 TABS
KE-G.MED-4-2,BEKY HOLDINGS PHARMACY LTD,FLAGYL SUSPENSION 100ML
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
GEM-NP,BEKY HOLDINGS PHARMACY LTD,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,BEKY HOLDINGS PHARMACY LTD,Maalox 460mg/susp SC20 S3 M36 XE
CHC-NP,BEKY HOLDINGS PHARMACY LTD,MAALOX PLUS TABS EXPORT 10
CHC-NP,BEKY HOLDINGS PHARMACY LTD,MAALOX SUSPENSION 350ML (EXPORT)
KE-CHC-3,BEKY HOLDINGS PHARMACY LTD,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,ORELOX 100MG TABCO BL1X10
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,ORELOX 200MG 10CP
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-G.MED-3-1,BEKY HOLDINGS PHARMACY LTD,ORELOX 800MG/+ GRAN BTX1
KE-G.MED-1-4,BEKY HOLDINGS PHARMACY LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-CHC-7,BEKY HOLDINGS PHARMACY LTD,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-7,BEKY HOLDINGS PHARMACY LTD,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-3,BEKY HOLDINGS PHARMACY LTD,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,BEKY HOLDINGS PHARMACY LTD,STILNOX 10MG TABCO BL1X14 S3 M48 XD
GEM-NP,BEKY HOLDINGS PHARMACY LTD,TAVANIC 500MG TABLETS 5's
KE-G.MED-1-4,BEKY HOLDINGS PHARMACY LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-4,BEKY HOLDINGS PHARMACY LTD,TRITACE 5MG 28 TABS
KE-G.MED-2-1,BEKY HOLDINGS PHARMACY LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-DCV-4,BEL-EA PHARMACY LTD,ALLSTAR MEDSU PEN1 XE
KE-DCV-4,BEL-EA PHARMACY LTD,AMARYL 1MG 30 TABS
KE-DCV-4,BEL-EA PHARMACY LTD,AMARYL 2MG 30 TABS
KE-DCV-4,BEL-EA PHARMACY LTD,AMARYL 4MG 30 TABS
KE-DCV-4,BEL-EA PHARMACY LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-G.MED-3_Others,BEL-EA PHARMACY LTD,APROVASC 300/10
KE-DCV-4,BEL-EA PHARMACY LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV_Others,BEL-EA PHARMACY LTD,APROVEL 300MG TABCO BL2X14 RM M36 XE
CHC-NP,BEL-EA PHARMACY LTD,BIOFERON 8G/200ML+ SYR BTX1 M30 EX
CHC-NP,BEL-EA PHARMACY LTD,BRONCHICUM 6.64G/+ ELIX BTX1 XE
KE-CHC-8,BEL-EA PHARMACY LTD,BUSCOPAN PLUS TABLETS * 50's
KE-G.MED-1_Others,BEL-EA PHARMACY LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-DCV-4,BEL-EA PHARMACY LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-4,BEL-EA PHARMACY LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
GEM-NP,BEL-EA PHARMACY LTD,CORDARONE 200MG TAB BL3X10 S3 M36 XD
KE-CHC-8,BEL-EA PHARMACY LTD,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-4,BEL-EA PHARMACY LTD,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3-1,BEL-EA PHARMACY LTD,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-1,BEL-EA PHARMACY LTD,EPILIM 200MG TAB BL10X10
KE-G.MED-3-1,BEL-EA PHARMACY LTD,EPILIM CHRONO 333-145MG T
KE-G.MED-3-1,BEL-EA PHARMACY LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
KE-G.MED-4-1,BEL-EA PHARMACY LTD,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4-1,BEL-EA PHARMACY LTD,FLAGYL 400MG 100 TABS
KE-G.MED-4-1,BEL-EA PHARMACY LTD,FLAGYL SUSPENSION 100ML
KE-G.MED-4-1,BEL-EA PHARMACY LTD,FLEMING 2.8MG/70ML PO BTX1 M24 EX
KE-G.MED-4-1,BEL-EA PHARMACY LTD,FLEMING 5.6G/70ML PO BTX1 M24 GH
KE-G.MED-4-1,BEL-EA PHARMACY LTD,FLEMING 500-125MG TABCO BL2X7 M24 EX
KE-G.MED-4-1,BEL-EA PHARMACY LTD,FLEMING 875-125MG TABCO BL2X7 M24 EX
CHC-NP,BEL-EA PHARMACY LTD,IBEX 200MG+ CAPEM BL2X12 M36 EX
KE-DCV-4,BEL-EA PHARMACY LTD,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-4,BEL-EA PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,BEL-EA PHARMACY LTD,LANTUS VIAL 10MG 1
GEM-NP,BEL-EA PHARMACY LTD,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,BEL-EA PHARMACY LTD,Maalox 460mg/susp SC20 S3 M36 XE
CHC-NP,BEL-EA PHARMACY LTD,MAALOX PLUS TABS EXPORT 10
CHC-NP,BEL-EA PHARMACY LTD,MAALOX SUSPENSION 350ML (EXPORT)
KE-CHC-4,BEL-EA PHARMACY LTD,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC-NP,BEL-EA PHARMACY LTD,NOSPA 40MG TAB BL10X10 S3
KE-G.MED-3-1,BEL-EA PHARMACY LTD,ORELOX 200MG 10CP
KE-G.MED-3-1,BEL-EA PHARMACY LTD,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-G.MED-3-1,BEL-EA PHARMACY LTD,ORELOX 800MG/+ GRAN BTX1
KE-G.MED-1_Others,BEL-EA PHARMACY LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-CHC-8,BEL-EA PHARMACY LTD,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-8,BEL-EA PHARMACY LTD,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-4,BEL-EA PHARMACY LTD,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,BEL-EA PHARMACY LTD,STILNOX 10MG TABCO BL1X14 S3 M48 XD
GEM-NP,BEL-EA PHARMACY LTD,TAVANIC 500MG TABLETS 5's
KE-G.MED-1-4,BEL-EA PHARMACY LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-2-1,BEL-EA PHARMACY LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-G.MED-2-1,BEL-EA PHARMACY LTD,XATRAL 5MG TAB BL4X14 S3 M36 XD
KE-G.MED-3_Others,BELLEVIEW SOUTH HOSPITAL       ,APROVASC 300/10
KE-DCV_Others,BELLEVIEW SOUTH HOSPITAL       ,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-G.MED-4-2,BELLEVIEW SOUTH HOSPITAL       ,FLAGYL SUSPENSION 100ML
GEM-NP,BELLEVIEW SOUTH HOSPITAL       ,LASIX 40MG TAB BL2X10 SWI M60 XE
KE-CHC-3,BELLEVIEW SOUTH HOSPITAL       ,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC-NP,BELLEVIEW SOUTH HOSPITAL       ,NOSPA 40MG TAB BL10X10 S3
CHC-NP,BELLEVIEW SOUTH HOSPITAL       ,NOSPA 40MG/2ML INJ AM25 XD
KE-G.MED-3-1,BELLEVIEW SOUTH HOSPITAL       ,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-G.MED-3_Others,BELLEVIEW SOUTH HOSPITAL       ,ORELOX 800MG/+ GRAN BTX1
KE-CHC-7,BELLEVIEW SOUTH HOSPITAL       ,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-7,BELLEVIEW SOUTH HOSPITAL       ,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-3,BELLEVIEW SOUTH HOSPITAL       ,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-G.MED-2-1,BELLEVIEW SOUTH HOSPITAL       ,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
CHC-NP,BELMONT PHARMACEUTICALS LTD,BISOLVON LINCTUS 200ML 
CHC-NP,BELMONT PHARMACEUTICALS LTD,BRONCHICUM 6.64G/+ ELIX BTX1 XE
KE-CHC-7,BELMONT PHARMACEUTICALS LTD,BUSCOPAN PLUS TABLETS * 50's
KE-CHC-7,BELMONT PHARMACEUTICALS LTD,BUSCOPAN TABLETS BP 10mg * 50's
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-CHC-7,BELMONT PHARMACEUTICALS LTD,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-3,BELMONT PHARMACEUTICALS LTD,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3-5,BELMONT PHARMACEUTICALS LTD,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-5,BELMONT PHARMACEUTICALS LTD,EPILIM CHRONO 333-145MG T
CHC-NP,BELMONT PHARMACEUTICALS LTD,ERCEFURYL 200MG CAP BL2X14
CHC-NP,BELMONT PHARMACEUTICALS LTD,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX
KE-G.MED-4-2,BELMONT PHARMACEUTICALS LTD,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4-2,BELMONT PHARMACEUTICALS LTD,FLAGYL 400MG 100 TABS
KE-G.MED-4-2,BELMONT PHARMACEUTICALS LTD,FLAGYL SUSPENSION 100ML
KE-G.MED-4-2,BELMONT PHARMACEUTICALS LTD,FLEMING 2.8MG/70ML PO BTX1 M24 EX
KE-G.MED-4-2,BELMONT PHARMACEUTICALS LTD,FLEMING 500-125MG TABCO BL2X7 M24 EX
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
GEM-NP,BELMONT PHARMACEUTICALS LTD,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,BELMONT PHARMACEUTICALS LTD,Maalox 460mg/susp SC20 S3 M36 XE
CHC-NP,BELMONT PHARMACEUTICALS LTD,MAALOX PLUS TABS EXPORT 10
CHC-NP,BELMONT PHARMACEUTICALS LTD,MAALOX SUSPENSION 350ML (EXPORT)
KE-CHC-3,BELMONT PHARMACEUTICALS LTD,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC-NP,BELMONT PHARMACEUTICALS LTD,NOSPA 80MG TAB BL2X10 S3
KE-G.MED-3-5,BELMONT PHARMACEUTICALS LTD,ORELOX 100MG TABCO BL1X10
KE-G.MED-3-5,BELMONT PHARMACEUTICALS LTD,ORELOX 200MG 10CP
KE-G.MED-3-5,BELMONT PHARMACEUTICALS LTD,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-G.MED-3-5,BELMONT PHARMACEUTICALS LTD,ORELOX 800MG/+ GRAN BTX1
KE-CHC-7,BELMONT PHARMACEUTICALS LTD,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-7,BELMONT PHARMACEUTICALS LTD,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-3,BELMONT PHARMACEUTICALS LTD,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,BELMONT PHARMACEUTICALS LTD,STILNOX 10MG TABCO BL1X14 S3 M48 XD
GEM-NP,BELMONT PHARMACEUTICALS LTD,TAVANIC 500MG TABLETS 5's
KE-G.MED-2-1,BELMONT PHARMACEUTICALS LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD
CHC_OTC_Others,BENORA PHARMACY LTD,DULCOLAX TABLETS 5mg * 30's SugarC
KE-REG-3,BENORA PHARMACY LTD,EPILIM 12G/300ML SYR BTX1
GEM-NP,BENORA PHARMACY LTD,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC_RX_Others,BENTA AND LEON HEALTHCARE LTD ,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3_Others,BENTA AND LEON HEALTHCARE LTD ,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
CHC_RX_Others,BENTA AND LEON HEALTHCARE LTD ,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
CHC-NP,BENUNA CHEMISTS,BRONCHICUM 6.64G/+ ELIX BTX1 XE
CHC_OTC_Others,BENUNA CHEMISTS,DULCOLAX TABLETS 5mg * 30's SugarC
CHC-NP,BENUNA CHEMISTS,ERCEFURYL 200MG CAP BL2X14
GEM-NP,BENUNA CHEMISTS,LASIX 40MG TAB BL2X10 SWI M60 XE
KE-G.MED-3-1,BENUNA CHEMISTS,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
CHC_OTC_Others,BERIWAH CHEMIST,DULCOLAX TABLETS 5mg * 30's SugarC
KE-DCV-1,BERYL PHARMACY,AMARYL MIR 2-500MG TABCO BL3X10 XE
GEM-NP,BERYL PHARMACY,LASIX 40MG TAB BL2X10 SWI M60 XE
KE-CHC-7,BERYL PHARMACY,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-7,BERYL PHARMACY,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-3,BERYL PHARMACY,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-DCV_Others,BETALIFE CHEMIST              ,AMARYL 2MG 30 TABS
CHC_RX_Others,BETALIFE CHEMIST              ,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
GEM-NP,BETALIFE CHEMIST              ,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC_OTC_Others,BETALIFE CHEMIST              ,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
CHC_OTC_Others,BETALIFE CHEMIST              ,RHINATHIOL 6.25G/+ SYR BT
CHC-NP,BEVEL CHEMIST,IBEX 200MG+ CAPEM BL2X12 M36 EX
CHC-NP,BEVEL CHEMIST,Maalox 460mg/susp SC20 S3 M36 XE
CHC_RX_Others,BEVEL CHEMIST,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-DCV_Others,BIBO PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
CHC-NP,BIBO PHARMACEUTICALS LTD,BRONCHICUM 6.64G/+ ELIX BTX1 XE
KE-CHC-7,BIBO PHARMACEUTICALS LTD,BUSCOPAN PLUS TABLETS * 50's
KE-CHC-6,BIBO PHARMACEUTICALS LTD,BUSCOPAN TABLETS BP 10mg * 50's
KE-DCV_Others,BIBO PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,BIBO PHARMACEUTICALS LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-CHC-7,BIBO PHARMACEUTICALS LTD,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-3,BIBO PHARMACEUTICALS LTD,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3-5,BIBO PHARMACEUTICALS LTD,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-5,BIBO PHARMACEUTICALS LTD,EPILIM CHRONO 333-145MG T
KE-G.MED-3-5,BIBO PHARMACEUTICALS LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
KE-G.MED-4-2,BIBO PHARMACEUTICALS LTD,FLAGYL 400MG 100 TABS
KE-G.MED-4-2,BIBO PHARMACEUTICALS LTD,FLAGYL SUSPENSION 100ML
KE-G.MED-4_Others,BIBO PHARMACEUTICALS LTD,FLEMING 5.6G/70ML PO BTX1 M24 GH
KE-G.MED-4-2,BIBO PHARMACEUTICALS LTD,FLEMING 500-125MG TABCO BL2X7 M24 EX
