country,DISTRIBUTOR,PRODUCT_Disti,Product_Sanofi,sanofi_gmid
KE,Laborex,STILNOX TABLETS 10MG 14'S     ,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Harleys,Stilnox10mg Tablet's 14's - DDA,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Highchem,STILNOX 10mg TABS 14'S,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Laborex,STILNOX 10MG COMP B/14        ,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Surgipharm,STILNOX TABS 10MG * 14,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Highchem,XATRAL 2.5mg TABS 30'S,XATRAL 2.5MG TABCO BL2X15 S3 M36 XE,639628
KE,Laborex,"XATRAL 2,5MG CP B/30          ",XATRAL 2.5MG TABCO BL2X15 S3 M36 XE,639628
KE,Harleys,Epilim Liquid 300ml -DDA,EPILIM 12G/300ML SYR BTX1,641849
KE,Highchem,EPILIM 300ml SYRUP,EPILIM 12G/300ML SYR BTX1,641849
KE,Laborex,EPILIM SYRUP 200MG/5ML 300ML  ,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Epilim Liquid 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Surgipharm,EPILIM SYRUP 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Epilim IV 400mg/4ml Vial,EPILIM 400MG/4ML INJPO VL+S1 M60 XE,642931
KE,Laborex,EPILIM IV 400MG PER VIAL      ,EPILIM 400MG/4ML INJPO VL+S1 M60 XE,642931
KE,Surgipharm,EPILIM INJECTION 400MG * 1,EPILIM 400MG/4ML INJPO VL+S1 M60 XE,642931
KE,Surgipharm,EPILIM INJECTION 400MG * 1 (SODIUM VALPROATE),EPILIM 400MG/4ML INJPO VL+S1 M60 XE,642931
KE,Harleys,Epilim Chrono 300mg  Tablets 100's - DDA,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Epilim Chrono 300mg  Tablets 100's,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Highchem,EPILIM CHRONO 300mg TABS 100'S,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Laborex,EPILIM CHRONO 300MG TABS      ,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Surgipharm,EPILIM CHRONO TABS 300mg * 100,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Epilim Chrono 500mg  Tablets 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Laborex,EPILIM CHRONO TABS 500MG 100S ,EPILIM CHRONO 333-145MG T,643216
KE,Highchem,EPILIM CHRONO 500mg TABS 100'S,EPILIM CHRONO 333-145MG T,643216
KE,Surgipharm,EPILIM CHRONO TABS 500mg * 100,EPILIM CHRONO 333-145MG T,643216
KE,Laborex,FLAGYL SUSP 200MG 100ML       ,FLAGYL SUSPENSION 100ML,645815
KE,Harleys,Flagyl Suspension 200mg/5ml 100ml,FLAGYL SUSPENSION 100ML,645815
KE,Highchem,FLAGYL 100ml SUSPENSION,FLAGYL SUSPENSION 100ML,645815
KE,Surgipharm,FLAGYL SUSPENSION 100ml,FLAGYL SUSPENSION 100ML,645815
KE,Laborex,FLAGYL TABS 400MG 100'S       ,FLAGYL 400MG 100 TABS,645817
KE,Harleys,Flagyl Tablets 400mg 100's,FLAGYL 400MG 100 TABS,645817
KE,Highchem,FLAGYL 400mg TABS 100'S,FLAGYL 400MG 100 TABS,645817
KE,Surgipharm,FLAGYL TABS 400mg * 100's,FLAGYL 400MG 100 TABS,645817
KE,Laborex,AMARYL TABS 2MG 30'S          ,AMARYL 2MG 30 TABS,645818
KE,Harleys,Amaryl Tablets 2mg  30's,AMARYL 2MG 30 TABS,645818
KE,Highchem,AMARYL TABS 2.0mg 30'S,AMARYL 2MG 30 TABS,645818
KE,Surgipharm,AMARYL TABS 2mg * 30's,AMARYL 2MG 30 TABS,645818
KE,Laborex,AMARYL TABS 4MG 30'S          ,AMARYL 4MG 30 TABS,645819
KE,Harleys,Amaryl Tablets 4mg  30's,AMARYL 4MG 30 TABS,645819
KE,Highchem,AMARYL TABS 4.0mg 30'S,AMARYL 4MG 30 TABS,645819
KE,Surgipharm,AMARYL TABS 4mg * 30's,AMARYL 4MG 30 TABS,645819
KE,Laborex,AMARYL TABS 1MG 30'S          ,AMARYL 1MG 30 TABS,645820
KE,Harleys,Amaryl Tablets 1mg  30's,AMARYL 1MG 30 TABS,645820
KE,Highchem,AMARYL TABS 1.0mg 30'S,AMARYL 1MG 30 TABS,645820
KE,Surgipharm,AMARYL TABS 1mg * 30's,AMARYL 1MG 30 TABS,645820
KE,Laborex,"MUCOSOLVAN 1,5G/100ML SIR    .",MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Harleys,Mucosolvan liquid 15mg/5ml 100ml,MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Highchem,MUCOSOLVAN 1.5G/100ML SYR BT1,MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Highchem,MUCOSOLVAN  1.5G/100ML SYR BT1,MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Surgipharm,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Laborex,BUSCOPAN TABS 10MG 50'S      .,BUSCOPAN TABLETS BP 10mg * 50's,651969
KE,Surgipharm,BUSCOPAN TABLETS BP 10MG * 50S,BUSCOPAN TABLETS BP 10mg * 50's,651969
KE,Harleys,Buscopan injection 20mg/ml  - 5s,BUSCOPAN AMPOULES 20mg/1ml * 5's ,652574
KE,Laborex,BUSCOPAN AMPOULES 20MG 5'S    ,BUSCOPAN AMPOULES 20mg/1ml * 5's ,652574
KE,Surgipharm,BUSCOPAN AMPOULES 20mg/1ml * 5's,BUSCOPAN AMPOULES 20mg/1ml * 5's ,652574
KE,Harleys,Buscopan plus tablets 50's,BUSCOPAN PLUS TABLETS * 50's,653030
KE,Laborex,BUSCOPAN PLUS TABS 50'S      .,BUSCOPAN PLUS TABLETS * 50's,653030
KE,Surgipharm,BUSCOPAN PLUS TABLETS * 50's,BUSCOPAN PLUS TABLETS * 50's,653030
KE,Harleys,Clexane 20mg injection 2's,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE,655022
KE,Highchem,CLEXANE 20mg 2'S,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE,655022
KE,Laborex,CLEXANE INJ  20MG 2'S         ,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE,655022
KE,Surgipharm,CLEXANE INJ. 20mg * 2,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE,655022
KE,Harleys,Clexane 40mg inj 2's,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
KE,Highchem,CLEXANE 40mg 2'S,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
KE,Laborex,CLEXANE 40MG INJ 2'S          ,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
KE,Surgipharm,CLEXANE INJ. 40mg * 2,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
KE,Surgipharm,CLEXANE INJ. 40mg * 1'S,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
KE,Harleys,Clexane 60mg inj 2's,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,655024
KE,Highchem,CLEXANE 60mg 2'S,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,655024
KE,Laborex,CLEXANE INJ  60MG 2'S         ,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,655024
KE,Surgipharm,CLEXANE INJ. 60mg * 2,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,655024
KE,Laborex,CLEXANE INJ 80MG 2'S          ,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,655025
KE,Harleys,Clexane 80mg injection 2's,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,655025
KE,Highchem,CLEXANE 80mg 2'S,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,655025
KE,Surgipharm,CLEXANE INJ. 80mg * 2,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,655025
KE,Laborex,FLAGENTYL 500MG CP B/4        ,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
KE,Harleys,Flagentyl  500mg Tablets 4's,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
KE,Highchem,FLAGENTYL 500mg TABS,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
KE,Surgipharm,FLAGENTYL TABS 500mg * 4,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
KE,Harleys,Monotildiem SR 200mg Capsules 28's,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XD,670688
KE,Laborex,MONOTILDIEM SR 200MG TAB 28'S ,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XD,670688
KE,Surgipharm,MONO-TILDIEM CAPS SR 200mg * 28's,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XD,670688
KE,Harleys,Ercefuryl 4% Syrup 90ml,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX,671538
KE,Highchem,ERCEFURYL 4% 90ML SUSPENSION,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX,671538
KE,Laborex,ERCEFURYL SUSP BUV F/90ML     ,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX,671538
KE,Surgipharm,ERCEFURYL SUSPENSION 90ml,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX,671538
KE,Surgipharm,BIOFERON SUSP 200ML,BIOFERON 8G/200ML+ SYR BTX1 M30 EX,679090
KE,Highchem,DULCOLAX 5MG TABS BL3X10,DULCOLAX TABLETS 5mg * 30's SugarC,693896
KE,Laborex,DULCOLAX TABS 5MG 30'S       .,DULCOLAX TABLETS 5mg * 30's SugarC,693896
KE,Surgipharm,DULCOLAX TABLETS 5mg * 30's SugarC,DULCOLAX TABLETS 5mg * 30's SugarC,693896
KE,Harleys,Tavanic 500mg inj 1FL 100ml,TAVANIC 500MG/+ INFLS VL1,694156
KE,Highchem,TAVANIC INJECTION 500mg,TAVANIC 500MG/+ INFLS VL1,694156
KE,Laborex,TAVANIC 500MG/+INFLS VLS3M36XE,TAVANIC 500MG/+ INFLS VL1,694156
KE,Surgipharm,TAVANIC INJ. 500mg VIAL,TAVANIC 500MG/+ INFLS VL1,694156
KE,Harleys,Bioferon Capsules 30's,BIOFERON 305MG CAP 3X10,698116
KE,Highchem,BIOFERON CAPS 30'S,BIOFERON 305MG CAP 3X10,698116
KE,Surgipharm,BIOFERON CAPS *30,BIOFERON 305MG CAP 3X10,698116
KE,Surgipharm,BIOFERON CAPS *30  (SANOFI),BIOFERON 305MG CAP 3X10,698116
KE,Laborex,EPILIM EC TABS 200MG 100'S    ,EPILIM 200MG TAB BL10X10,728129
KE,Harleys,Epilim EC 200mg tablets 100's - DDA,EPILIM 200MG TAB BL10X10,728129
KE,Highchem,EPILIM 200mg TABS EC 100'S,EPILIM 200MG TAB BL10X10,728129
KE,Surgipharm,EPILIM EC TABLETS 200mg * 100,EPILIM 200MG TAB BL10X10,728129
KE,Surgipharm,SODIUM VALPROATE TABLETS 200MG * 1'S (LOOSE),EPILIM 200MG TAB BL10X10,728129
